[🀑, 🀑, 🀑, 🀒, 🀒, 🀓, 🀓, 🀓, 🀕, 🀕, 🀕, 🀗, 🀗, 🀗]; [🀒, 🀑🀑🀑, 🀓🀓🀓, 🀕🀕🀕, 🀗🀗🀗]; 自摸=false; 海底捞月=false; 妙手回春=false; 杠上开花=false; 

[🀐, 🀐, 🀐, 🀑, 🀒, 🀓, 🀔, 🀔, 🀕, 🀖, 🀗, 🀘, 🀘, 🀘]; [🀔, 🀐🀐🀐, 🀘🀘🀘, 🀑🀒🀓, 🀕🀖🀗]; 自摸=false; 海底捞月=false; 妙手回春=false; 杠上开花=false; 

[🀀, 🀀, 🀀, 🀁, 🀁, 🀁, 🀂, 🀂, 🀂, 🀃, 🀃, 🀃, 🀛, 🀛]; [🀛, 🀀🀀🀀, 🀁🀁🀁, 🀂🀂🀂, 🀃🀃🀃]; 自摸=false; 海底捞月=false; 妙手回春=false; 杠上开花=false; 

[🀑, 🀑, 🀒, 🀒, 🀓, 🀓, 🀔, 🀔, 🀕, 🀕, 🀖, 🀖, 🀗, 🀗]; [🀗, 🀒🀓🀔, 🀒🀓🀔, 🀕🀖🀗, 🀕🀖🀗]; 自摸=false; 海底捞月=false; 妙手回春=false; 杠上开花=false; 

[🀑, 🀑, 🀒, 🀒, 🀓, 🀓, 🀔, 🀔, 🀕, 🀕, 🀖, 🀖, 🀗, 🀗]; [🀗, 🀒🀓🀔, 🀒🀓🀔, 🀕🀖🀗, 🀕🀖🀗]; 自摸=false; 海底捞月=false; 妙手回春=false; 杠上开花=false; 

[🀈, 🀈, 🀉, 🀉, 🀊, 🀊, 🀋, 🀌, 🀍, 🀑, 🀒, 🀓, 🀠, 🀠]; [🀠, 🀈🀉🀊, 🀈🀉🀊, 🀋🀌🀍, 🀑🀒🀓]; 自摸=false; 海底捞月=false; 妙手回春=false; 杠上开花=false; 

[🀇, 🀇, 🀇, 🀇, 🀈, 🀉, 🀐, 🀐, 🀙, 🀙, 🀙, 🀟, 🀠, 🀡]; [🀐, 🀇🀇🀇, 🀙🀙🀙, 🀇🀈🀉, 🀟🀠🀡]; 自摸=false; 海底捞月=false; 妙手回春=false; 杠上开花=false; 

[🀉, 🀊, 🀊, 🀋, 🀋, 🀋, 🀌, 🀌, 🀍, 🀔, 🀔, 🀔, 🀕, 🀖]; [🀔, 🀉🀊🀋, 🀊🀋🀌, 🀋🀌🀍, 🀔🀕🀖]; 自摸=false; 海底捞月=false; 妙手回春=false; 杠上开花=false; 

[🀇, 🀇, 🀇, 🀇, 🀈, 🀉, 🀑, 🀑, 🀙, 🀙, 🀙, 🀟, 🀠, 🀡]; [🀑, 🀇🀇🀇, 🀙🀙🀙, 🀇🀈🀉, 🀟🀠🀡]; 自摸=false; 海底捞月=false; 妙手回春=false; 杠上开花=false; 

[🀇, 🀇, 🀇, 🀇, 🀈, 🀉, 🀐, 🀐, 🀙, 🀙, 🀙, 🀟, 🀠, 🀡]; [🀐, 🀇🀇🀇, 🀙🀙🀙, 🀇🀈🀉, 🀟🀠🀡]; 自摸=false; 海底捞月=false; 妙手回春=false; 杠上开花=false; 

[🀉, 🀊, 🀊, 🀋, 🀋, 🀋, 🀌, 🀌, 🀍, 🀔, 🀔, 🀔, 🀕, 🀖]; [🀔, 🀉🀊🀋, 🀊🀋🀌, 🀋🀌🀍, 🀔🀕🀖]; 自摸=false; 海底捞月=false; 妙手回春=false; 杠上开花=false; 

[🀇, 🀇, 🀇, 🀏, 🀏, 🀏, 🀐, 🀐, 🀐, 🀘, 🀘, 🀘, 🀙, 🀙]; [🀙, 🀇🀇🀇, 🀏🀏🀏, 🀐🀐🀐, 🀘🀘🀘]; 自摸=false; 海底捞月=false; 妙手回春=false; 杠上开花=false; 

[🀇, 🀈, 🀈, 🀉, 🀉, 🀉, 🀊, 🀊, 🀋, 🀍, 🀍, 🀍, 🀎, 🀏]; [🀍, 🀇🀈🀉, 🀈🀉🀊, 🀉🀊🀋, 🀍🀎🀏]; 自摸=false; 海底捞月=false; 妙手回春=false; 杠上开花=false; 

[🀇, 🀈, 🀈, 🀈, 🀉, 🀉, 🀉, 🀊, 🀊, 🀕, 🀖, 🀗, 🀘, 🀘]; [🀘, 🀇🀈🀉, 🀈🀉🀊, 🀈🀉🀊, 🀕🀖🀗]; 自摸=false; 海底捞月=false; 妙手回春=false; 杠上开花=false; 

[🀐, 🀐, 🀐, 🀑, 🀒, 🀓, 🀔, 🀔, 🀕, 🀖, 🀗, 🀘, 🀘, 🀘]; [🀔, 🀐🀐🀐, 🀘🀘🀘, 🀑🀒🀓, 🀕🀖🀗]; 自摸=false; 海底捞月=false; 妙手回春=false; 杠上开花=false; 

[🀇, 🀇, 🀇, 🀏, 🀏, 🀏, 🀐, 🀐, 🀐, 🀘, 🀘, 🀘, 🀙, 🀙]; [🀙, 🀇🀇🀇, 🀏🀏🀏, 🀐🀐🀐, 🀘🀘🀘]; 自摸=false; 海底捞月=false; 妙手回春=false; 杠上开花=false; 

[🀈, 🀉, 🀊, 🀋, 🀋, 🀍, 🀎, 🀏, 🀔, 🀕, 🀖, 🀞, 🀟, 🀠]; [🀋, 🀈🀉🀊, 🀍🀎🀏, 🀞🀟🀠, 🀔🀕🀖]; 自摸=false; 海底捞月=false; 妙手回春=false; 杠上开花=false; 

[🀍, 🀍, 🀎, 🀎, 🀏, 🀏, 🀖, 🀗, 🀘, 🀘, 🀘, 🀟, 🀠, 🀡]; [🀘, 🀍🀎🀏, 🀍🀎🀏, 🀟🀠🀡, 🀖🀗🀘]; 自摸=false; 海底捞月=false; 妙手回春=false; 杠上开花=false; 


[🀈, 🀉, 🀊, 🀌, 🀌, 🀑, 🀒, 🀓, 🀛, 🀜, 🀝, 🀞, 🀟, 🀠]; [🀌, 🀈🀉🀊, 🀛🀜🀝, 🀞🀟🀠, 🀑🀒🀓]; 自摸=false; 海底捞月=false; 妙手回春=false; 杠上开花=false; 

[🀉, 🀉, 🀉, 🀊, 🀊, 🀊, 🀋, 🀋, 🀌, 🀌, 🀍, 🀍]; [🀇, 🀉🀉🀉, 🀊🀊🀊, 🀋🀌🀍, 🀋🀌🀍]; 自摸=false; 海底捞月=false; 妙手回春=false; 杠上开花=false; 

[🀈, 🀈, 🀉, 🀉, 🀊, 🀊, 🀋, 🀋, 🀌, 🀌]; [🀇, 🀇🀈🀉, 🀇🀈🀉, 🀊🀋🀌, 🀊🀋🀌]; 自摸=false; 海底捞月=false; 妙手回春=false; 杠上开花=false; 

[🀀, 🀀, 🀂, 🀂, 🀂, 🀄, 🀄, 🀄, 🀅, 🀅, 🀅]; [🀀, 🀂🀂🀂, 🀆🀆🀆, 🀅🀅🀅, 🀄🀄🀄]; 自摸=false; 海底捞月=false; 妙手回春=false; 杠上开花=false; 

[🀀, 🀀, 🀀, 🀂, 🀂, 🀂, 🀄, 🀄, 🀄, 🀅, 🀅, 🀅, 🀆, 🀆]; [🀆, 🀀🀀🀀, 🀂🀂🀂, 🀅🀅🀅, 🀄🀄🀄]; 自摸=false; 海底捞月=false; 妙手回春=false; 杠上开花=false; 

[🀀, 🀀, 🀀, 🀂, 🀂, 🀂, 🀄, 🀄, 🀄, 🀆, 🀆]; [🀆, 🀀🀀🀀, 🀂🀂🀂, 🀅🀅🀅, 🀄🀄🀄]; 自摸=false; 海底捞月=false; 妙手回春=false; 杠上开花=false; 

[🀀, 🀀]; [🀀, 🀂🀂🀂, 🀆🀆🀆, 🀅🀅🀅, 🀄🀄🀄]; 自摸=false; 海底捞月=false; 妙手回春=false; 杠上开花=false; 

[🀀, 🀀, 🀄, 🀄, 🀄, 🀅, 🀅, 🀅]; [🀀, 🀂🀂🀂, 🀆🀆🀆, 🀅🀅🀅, 🀄🀄🀄]; 自摸=false; 海底捞月=false; 妙手回春=false; 杠上开花=false; 

[🀀, 🀀, 🀂, 🀂, 🀂, 🀄, 🀄, 🀄, 🀅, 🀅, 🀅, 🀆, 🀆, 🀆]; [🀀, 🀂🀂🀂, 🀆🀆🀆, 🀅🀅🀅, 🀄🀄🀄]; [];自摸=false; 海底捞月=false; 妙手回春=false; 杠上开花=false; 

[🀀, 🀀, 🀂, 🀂, 🀂, 🀄, 🀄, 🀄, 🀅, 🀅, 🀅]; [🀀, 🀂🀂🀂, 🀆🀆🀆, 🀅🀅🀅, 🀄🀄🀄]; [🀆🀆🀆];自摸=false; 海底捞月=false; 妙手回春=false; 杠上开花=false; 

[🀀, 🀀, 🀀, 🀂, 🀂, 🀂, 🀄, 🀄, 🀄, 🀆, 🀆]; [🀆, 🀀🀀🀀, 🀂🀂🀂, 🀅🀅🀅, 🀄🀄🀄]; 碰=[]杠=[🀅🀅🀅🀅]自摸=false; 海底捞月=false; 妙手回春=false; 杠上开花=false; 

[🀀, 🀀, 🀂, 🀂, 🀂, 🀄, 🀄, 🀄, 🀅, 🀅, 🀅]; [🀀, 🀂🀂🀂, 🀆🀆🀆, 🀅🀅🀅, 🀄🀄🀄]; 碰=[🀆🀆🀆]杠=[]自摸=false; 海底捞月=false; 妙手回春=false; 杠上开花=false; 

[🀅, 🀅, 🀅, 🀆, 🀆]; [🀆, 🀀🀀🀀, 🀂🀂🀂, 🀅🀅🀅, 🀄🀄🀄]; 碰=[🀀🀀🀀]杠=[🀄🀄🀄🀄, 🀂🀂🀂🀂]自摸=false; 海底捞月=false; 妙手回春=false; 杠上开花=false; 

[🀀, 🀀, 🀂, 🀂, 🀂, 🀄, 🀄, 🀄, 🀅, 🀅, 🀅]; [🀀, 🀂🀂🀂, 🀆🀆🀆, 🀅🀅🀅, 🀄🀄🀄]; 碰=[🀆🀆🀆]杠=[]自摸=false; 海底捞月=false; 妙手回春=false; 杠上开花=false; 

[🀀, 🀀, 🀄, 🀄, 🀄, 🀅, 🀅, 🀅]; [🀀, 🀂🀂🀂, 🀆🀆🀆, 🀅🀅🀅, 🀄🀄🀄]; 碰=[🀆🀆🀆]杠=[🀂🀂🀂🀂]自摸=false; 海底捞月=false; 妙手回春=false; 杠上开花=false; 

[🀀, 🀀, 🀀, 🀂, 🀂, 🀂, 🀃, 🀃, 🀃, 🀄, 🀄, 🀆, 🀆, 🀆]; [🀄, 🀀🀀🀀, 🀂🀂🀂, 🀃🀃🀃, 🀆🀆🀆]; 碰=[]杠=[]自摸=true; 海底捞月=false; 妙手回春=false; 杠上开花=false; 

[🀈, 🀉, 🀉, 🀉, 🀉, 🀊, 🀐, 🀑, 🀑, 🀑, 🀑, 🀒, 🀝, 🀝]; [🀝, 🀉🀉🀉, 🀑🀑🀑, 🀈🀉🀊, 🀐🀑🀒]; 碰=[]; 杠=[]; 自摸=true; 海底捞月=false; 妙手回春=false; 杠上开花=false; 边张=false-🀂; 坎张=false-🀂; 单钓=false-🀂; 圈风=🀀; 门风=🀀;
[🀁, 🀈, 🀋, 🀎, 🀎, 🀒, 🀒, 🀖, 🀖, 🀙, 🀚, 🀟, 🀠, 🀠]; [null, null, null, null, null]; 碰=[]; 杠=[]; 自摸=true; 海底捞月=false; 妙手回春=false; 杠上开花=false; 边张=false-🀝; 坎张=false-🀝; 单钓=false-🀝; 圈风=🀀; 门风=🀀; 

[🀈, 🀉, 🀉, 🀊, 🀊, 🀌, 🀍, 🀒, 🀓, 🀕, 🀕, 🀖, 🀖]; [null, null, null, null, null]; 碰=[]; 杠=[]; 自摸=true; 海底捞月=true; 妙手回春=false; 杠上开花=false; 边张=false-🀑; 坎张=false-🀑; 单钓=false-🀑; 圈风=🀀; 门风=🀀; 

[🀉, 🀊, 🀋, 🀌, 🀌, 🀒, 🀓, 🀖, 🀗, 🀘, 🀜, 🀝, 🀞]; [null, null, null, null, null]; 碰=[]; 杠=[]; 自摸=true; 海底捞月=true; 妙手回春=false; 杠上开花=false; 边张=false-🀡; 坎张=false-🀡; 单钓=false-🀡; 圈风=🀀; 门风=🀀; 

[🀆, 🀆, 🀜, 🀝, 🀞, 🀞, 🀞]; [null, null, null, null, null]; 碰=[🀠🀠🀠, 🀅🀅🀅]; 杠=[]; 自摸=true; 海底捞月=true; 妙手回春=false; 杠上开花=false; 边张=false-🀄; 坎张=false-🀄; 单钓=false-🀄; 圈风=🀀; 门风=🀀; 

[🀌, 🀌, 🀒, 🀓, 🀚, 🀛, 🀜]; [null, null, null, null, null]; 碰=[🀇🀇🀇, 🀠🀠🀠]; 杠=[]; 自摸=true; 海底捞月=true; 妙手回春=false; 杠上开花=false; 边张=false-🀝; 坎张=false-🀝; 单钓=false-🀝; 圈风=🀀; 门风=🀀; 

[🀇, 🀉, 🀉, 🀉, 🀋, 🀋, 🀓, 🀔, 🀕]; [🀋, 🀇🀇🀇, 🀉🀉🀉, 🀄🀄🀄, 🀓🀔🀕]; 碰=[🀄🀄🀄]; 杠=[]; 自摸=true; 海底捞月=true; 妙手回春=false; 杠上开花=false; 边张=false-🀌; 坎张=false-🀌; 单钓=false-🀌; 圈风=🀀; 门风=🀀; 

[🀁, 🀄, 🀇, 🀊, 🀏, 🀏, 🀐, 🀐, 🀕, 🀚, 🀛, 🀜, 🀝, 🀠]; [null, null, null, null, null]; 碰=[]; 杠=[]; 自摸=true; 海底捞月=false; 妙手回春=false; 杠上开花=false; 边张=false-🀆; 坎张=false-🀆; 单钓=false-🀆; 圈风=🀀; 门风=🀀; 

[🀁, 🀁, 🀇, 🀇, 🀍, 🀍, 🀍, 🀑, 🀒, 🀓, 🀔, 🀔, 🀛, 🀜]; [null, null, null, null, null]; 碰=[]; 杠=[]; 自摸=true; 海底捞月=false; 妙手回春=false; 杠上开花=false; 边张=false-🀉; 坎张=false-🀉; 单钓=false-🀉; 圈风=🀀; 门风=🀀; 

[🀀, 🀀, 🀀, 🀂, 🀂, 🀂, 🀃, 🀃, 🀃, 🀄, 🀄, 🀆, 🀆, 🀆]; [🀄, 🀀🀀🀀, 🀂🀂🀂, 🀃🀃🀃, 🀆🀆🀆]; 碰=[]; 杠=[]; 自摸=true; 海底捞月=false; 妙手回春=false; 杠上开花=false; 边张=false-🀔; 坎张=false-🀔; 单钓=false-🀔; 圈风=🀀; 门风=🀀; 

[🀀, 🀀, 🀅, 🀈, 🀈, 🀌, 🀏, 🀏, 🀐, 🀒, 🀕, 🀖, 🀗, 🀙]; [null, null, null, null, null]; 碰=[]; 杠=[]; 自摸=true; 海底捞月=false; 妙手回春=false; 杠上开花=false; 边张=false-🀑; 坎张=false-🀑; 单钓=false-🀑; 圈风=🀀; 门风=🀀; 

[🀀, 🀁, 🀅, 🀉, 🀊, 🀏, 🀒, 🀔, 🀖, 🀗, 🀛, 🀛, 🀞, 🀡]; [null, null, null, null, null]; 碰=[]; 杠=[]; 自摸=true; 海底捞月=false; 妙手回春=false; 杠上开花=false; 边张=false-🀀; 坎张=false-🀀; 单钓=false-🀀; 圈风=🀀; 门风=🀀; 

[🀃, 🀃, 🀄, 🀅, 🀊, 🀑, 🀓, 🀔, 🀕, 🀖, 🀗, 🀘, 🀝, 🀞]; [null, null, null, null, null]; 碰=[]; 杠=[]; 自摸=true; 海底捞月=false; 妙手回春=false; 杠上开花=false; 边张=false-🀓; 坎张=false-🀓; 单钓=false-🀓; 圈风=🀀; 门风=🀀; 

[🀋, 🀋, 🀋, 🀑, 🀑, 🀑, 🀒, 🀓, 🀔, 🀟, 🀟]; [🀟, 🀋🀋🀋, 🀛🀛🀛, 🀑🀑🀑, 🀒🀓🀔]; 碰=[🀛🀛🀛]; 杠=[]; 自摸=true; 海底捞月=false; 妙手回春=false; 杠上开花=false; 边张=false-🀗; 坎张=false-🀗; 单钓=false-🀗; 圈风=🀀; 门风=🀀; 

[🀆, 🀆, 🀊, 🀊, 🀛, 🀛, 🀛]; [null, null, null, null, null]; 碰=[🀄🀄🀄, 🀅🀅🀅]; 杠=[]; 自摸=true; 海底捞月=true; 妙手回春=false; 杠上开花=false; 边张=false-🀂; 坎张=false-🀂; 单钓=false-🀂; 圈风=🀀; 门风=🀀; 

[🀈, 🀉, 🀊, 🀒, 🀓, 🀖, 🀖, 🀚, 🀛, 🀜, 🀞, 🀟, 🀠]; [null, null, null, null, null]; 碰=[]; 杠=[]; 自摸=true; 海底捞月=true; 妙手回春=false; 杠上开花=false; 边张=false-🀝; 坎张=false-🀝; 单钓=false-🀝; 圈风=🀀; 门风=🀀; 

[🀄, 🀅, 🀈, 🀉, 🀊, 🀌, 🀏, 🀑, 🀒, 🀔, 🀖, 🀗, 🀘, 🀠]; [null, null, null, null, null]; 碰=[]; 杠=[]; 自摸=true; 海底捞月=true; 妙手回春=false; 杠上开花=false; 边张=false-🀑; 坎张=false-🀑; 单钓=false-🀑; 圈风=🀀; 门风=🀀; 

[🀋, 🀌, 🀍, 🀑, 🀒, 🀓, 🀛, 🀜, 🀝, 🀡, 🀡]; [🀡, 🀀🀀🀀, 🀋🀌🀍, 🀛🀜🀝, 🀑🀒🀓]; 碰=[🀀🀀🀀]; 杠=[]; 自摸=true; 海底捞月=true; 妙手回春=false; 杠上开花=false; 边张=false-🀐; 坎张=false-🀐; 单钓=false-🀐; 圈风=🀀; 门风=🀀; 

[🀐, 🀐, 🀐, 🀒, 🀒, 🀘, 🀘, 🀘]; [🀒, 🀠🀠🀠, 🀐🀐🀐, 🀕🀕🀕, 🀘🀘🀘]; 碰=[🀕🀕🀕, 🀠🀠🀠]; 杠=[]; 自摸=true; 海底捞月=true; 妙手回春=false; 杠上开花=false; 边张=false-🀞; 坎张=false-🀞; 单钓=false-🀞; 圈风=🀀; 门风=🀀; 

[🀀, 🀀, 🀀, 🀂, 🀂, 🀂, 🀃, 🀃, 🀃, 🀄, 🀄, 🀆, 🀆, 🀆]; [🀄, 🀀🀀🀀, 🀂🀂🀂, 🀃🀃🀃, 🀆🀆🀆]; 碰=[]; 杠=[]; 自摸=true; 海底捞月=false; 妙手回春=false; 杠上开花=false; 边张=false-🀛; 坎张=false-🀛; 单钓=false-🀛; 圈风=🀀; 门风=🀀; 

[🀈, 🀉, 🀊, 🀋, 🀐, 🀑, 🀒, 🀖, 🀗, 🀘, 🀙, 🀙, 🀙]; [null, null, null, null, null]; 碰=[]; 杠=[]; 自摸=true; 海底捞月=true; 妙手回春=false; 杠上开花=false; 边张=false-🀄; 坎张=false-🀄; 单钓=false-🀄; 圈风=🀀; 门风=🀀; 

[🀉, 🀏, 🀐, 🀑, 🀔, 🀖, 🀗, 🀜, 🀝, 🀟, 🀠]; [null, null, null, null, null]; 碰=[🀛🀛🀛]; 杠=[]; 自摸=true; 海底捞月=true; 妙手回春=false; 杠上开花=false; 边张=false-🀂; 坎张=false-🀂; 单钓=false-🀂; 圈风=🀀; 门风=🀀; 

[🀈, 🀉, 🀋, 🀌, 🀍, 🀔, 🀔, 🀖, 🀖, 🀖, 🀜, 🀜, 🀜]; [🀔, 🀜🀜🀜, 🀖🀖🀖, 🀇🀈🀉, 🀋🀌🀍]; 碰=[]; 杠=[]; 自摸=true; 海底捞月=true; 妙手回春=false; 杠上开花=false; 边张=false-🀀; 坎张=false-🀀; 单钓=false-🀀; 圈风=🀀; 门风=🀀; 

[🀀, 🀉, 🀎, 🀐, 🀔, 🀔, 🀕, 🀕, 🀖, 🀛, 🀜, 🀟, 🀠, 🀡]; [null, null, null, null, null]; 碰=[]; 杠=[]; 自摸=true; 海底捞月=true; 妙手回春=false; 杠上开花=false; 边张=false-🀅; 坎张=false-🀅; 单钓=false-🀅; 圈风=🀀; 门风=🀀; 

[🀂, 🀄, 🀅, 🀈, 🀊, 🀊, 🀑, 🀔, 🀖, 🀖, 🀗, 🀙, 🀟, 🀠]; [null, null, null, null, null]; 碰=[]; 杠=[]; 自摸=true; 海底捞月=true; 妙手回春=false; 杠上开花=false; 边张=false-🀏; 坎张=false-🀏; 单钓=false-🀏; 圈风=🀀; 门风=🀀; 

[🀀, 🀇, 🀈, 🀈, 🀉, 🀋, 🀏, 🀑, 🀔, 🀔, 🀙, 🀝, 🀝, 🀠]; [null, null, null, null, null]; 碰=[]; 杠=[]; 自摸=true; 海底捞月=true; 妙手回春=false; 杠上开花=false; 边张=false-🀂; 坎张=false-🀂; 单钓=false-🀂; 圈风=🀀; 门风=🀀; 

[🀆, 🀈, 🀊, 🀎, 🀏, 🀑, 🀒, 🀔, 🀗, 🀟, 🀡]; [null, null, null, null, null]; 碰=[🀃🀃🀃]; 杠=[]; 自摸=true; 海底捞月=false; 妙手回春=false; 杠上开花=false; 边张=false-🀂; 坎张=false-🀂; 单钓=false-🀂; 圈风=🀀; 门风=🀀; 

[🀈, 🀉, 🀊, 🀌, 🀌, 🀔, 🀕, 🀖]; [🀌, 🀙🀙🀙, 🀄🀄🀄, 🀈🀉🀊, 🀔🀕🀖]; 碰=[🀄🀄🀄]; 杠=[🀙🀙🀙🀙]; 自摸=true; 海底捞月=false; 妙手回春=false; 杠上开花=false; 边张=false-🀜; 坎张=false-🀜; 单钓=false-🀜; 圈风=🀀; 门风=🀀; 

[🀒, 🀒, 🀜, 🀜, 🀝, 🀝, 🀞, 🀞, 🀟, 🀠]; [null, null, null, null, null]; 碰=[]; 杠=[🀛🀛🀛🀛]; 自摸=true; 海底捞月=true; 妙手回春=false; 杠上开花=false; 边张=false-🀎; 坎张=false-🀎; 单钓=false-🀎; 圈风=🀀; 门风=🀀; 

[🀈, 🀉, 🀊, 🀊, 🀊, 🀐, 🀑, 🀒, 🀔, 🀕, 🀖, 🀟, 🀠, 🀡]; [🀊, 🀈🀉🀊, 🀟🀠🀡, 🀐🀑🀒, 🀔🀕🀖]; 碰=[]; 杠=[]; 自摸=true; 海底捞月=true; 妙手回春=false; 杠上开花=false; 边张=false-🀡; 坎张=false-🀡; 单钓=false-🀡; 圈风=🀀; 门风=🀀; 

[🀊, 🀊, 🀓, 🀔, 🀕, 🀖, 🀗, 🀝, 🀝, 🀝, 🀞, 🀟, 🀠]; [null, null, null, null, null]; 碰=[]; 杠=[]; 自摸=true; 海底捞月=true; 妙手回春=false; 杠上开花=false; 边张=false-🀐; 坎张=false-🀐; 单钓=false-🀐; 圈风=🀀; 门风=🀀; 

[🀓, 🀔, 🀙, 🀙, 🀚, 🀚, 🀛, 🀛, 🀞, 🀞, 🀠, 🀠, 🀠]; [null, null, null, null, null]; 碰=[]; 杠=[]; 自摸=true; 海底捞月=true; 妙手回春=false; 杠上开花=false; 边张=false-🀌; 坎张=false-🀌; 单钓=false-🀌; 圈风=🀀; 门风=🀀; 

[🀉, 🀊, 🀓, 🀔, 🀕, 🀖, 🀖, 🀚, 🀚, 🀛, 🀝, 🀞, 🀟]; [null, null, null, null, null]; 碰=[]; 杠=[]; 自摸=true; 海底捞月=true; 妙手回春=false; 杠上开花=false; 边张=false-🀜; 坎张=false-🀜; 单钓=false-🀜; 圈风=🀀; 门风=🀀; 

[🀅, 🀈, 🀈, 🀉, 🀊, 🀋, 🀒, 🀒, 🀔, 🀕, 🀖, 🀚, 🀛, 🀜]; [null, null, null, null, null]; 碰=[]; 杠=[]; 自摸=true; 海底捞月=true; 妙手回春=false; 杠上开花=false; 边张=false-🀉; 坎张=false-🀉; 单钓=false-🀉; 圈风=🀀; 门风=🀀; 

[🀁, 🀄, 🀅, 🀅, 🀚, 🀛, 🀜]; [null, null, null, null, null]; 碰=[]; 杠=[🀝🀝🀝🀝, 🀀🀀🀀]; 自摸=true; 海底捞月=true; 妙手回春=false; 杠上开花=false; 边张=false-🀈; 坎张=false-🀈; 单钓=false-🀈; 圈风=🀀; 门风=🀀; 

[🀊, 🀊, 🀌, 🀍, 🀎, 🀎, 🀎, 🀓, 🀓, 🀓, 🀛, 🀜, 🀝]; [null, null, null, null, null]; 碰=[]; 杠=[]; 自摸=false; 海底捞月=true; 妙手回春=false; 杠上开花=false; 边张=false-🀑; 坎张=false-🀑; 单钓=false-🀑; 圈风=🀀; 门风=🀀; 

[🀈, 🀉, 🀉, 🀊, 🀋, 🀋, 🀌, 🀑, 🀑, 🀔, 🀔, 🀕, 🀕]; [null, null, null, null, null]; 碰=[]; 杠=[]; 自摸=false; 海底捞月=true; 妙手回春=true; 杠上开花=false; 边张=false-🀜; 坎张=false-🀜; 单钓=false-🀜; 圈风=🀀; 门风=🀀; 

[🀐, 🀓, 🀓, 🀗, 🀙, 🀛, 🀜, 🀝, 🀝, 🀟, 🀟, 🀟, 🀠]; [null, null, null, null, null]; 碰=[]; 杠=[]; 自摸=false; 海底捞月=true; 妙手回春=true; 杠上开花=false; 边张=false-🀚; 坎张=false-🀚; 单钓=false-🀚; 圈风=🀀; 门风=🀀; 

[🀅, 🀉, 🀊, 🀐, 🀒, 🀔, 🀕, 🀖, 🀖, 🀗, 🀛, 🀜, 🀟, 🀠]; [null, null, null, null, null]; 碰=[]; 杠=[]; 自摸=false; 海底捞月=true; 妙手回春=true; 杠上开花=false; 边张=false-🀚; 坎张=false-🀚; 单钓=false-🀚; 圈风=🀀; 门风=🀀; 

[🀉, 🀉, 🀋, 🀋, 🀋, 🀌, 🀍, 🀎, 🀒, 🀒, 🀔, 🀔, 🀜, 🀝]; [null, null, null, null, null]; 碰=[]; 杠=[]; 自摸=true; 海底捞月=false; 妙手回春=false; 杠上开花=false; 边张=false-🀝; 坎张=false-🀝; 单钓=false-🀝; 圈风=🀀; 门风=🀀; 

[🀂, 🀄, 🀇, 🀇, 🀉, 🀊, 🀎, 🀑, 🀑, 🀖, 🀘, 🀚, 🀛, 🀠]; [null, null, null, null, null]; 碰=[]; 杠=[]; 自摸=true; 海底捞月=false; 妙手回春=false; 杠上开花=false; 边张=false-🀔; 坎张=false-🀔; 单钓=false-🀔; 圈风=🀀; 门风=🀀; 

[🀃, 🀃, 🀇, 🀉, 🀌, 🀌, 🀎, 🀓, 🀕, 🀗, 🀗, 🀘, 🀜, 🀞]; [null, null, null, null, null]; 碰=[]; 杠=[]; 自摸=true; 海底捞月=false; 妙手回春=false; 杠上开花=false; 边张=false-🀍; 坎张=false-🀍; 单钓=false-🀍; 圈风=🀀; 门风=🀀; 

[🀍, 🀎, 🀏, 🀐, 🀓, 🀔, 🀝, 🀞]; [null, null, null, null, null]; 碰=[🀜🀜🀜, 🀊🀊🀊]; 杠=[]; 自摸=true; 海底捞月=false; 妙手回春=false; 杠上开花=false; 边张=false-🀕; 坎张=false-🀕; 单钓=false-🀕; 圈风=🀀; 门风=🀀; 

[🀀, 🀁, 🀁, 🀅, 🀅, 🀋, 🀍, 🀐, 🀘, 🀘, 🀙, 🀚, 🀚, 🀚]; [null, null, null, null, null]; 碰=[]; 杠=[]; 自摸=true; 海底捞月=false; 妙手回春=false; 杠上开花=false; 边张=false-🀆; 坎张=false-🀆; 单钓=false-🀆; 圈风=🀀; 门风=🀀; 

[🀃, 🀅, 🀆, 🀇, 🀉, 🀎, 🀐, 🀔, 🀕, 🀕, 🀖, 🀙, 🀚, 🀟]; [null, null, null, null, null]; 碰=[]; 杠=[]; 自摸=true; 海底捞月=false; 妙手回春=false; 杠上开花=false; 边张=false-🀋; 坎张=false-🀋; 单钓=false-🀋; 圈风=🀀; 门风=🀀; 

